gene_id,Rep1._x,Rep2._x,Rep3._x,Rep1._y,Rep2._y,Rep3._y
ENSMUSG00000001666,1809.66,1996.91,1898.37,1806.06,1823.0,1128.74
ENSMUSG00000001670,20032.0,35216.0,30592.0,38436.0,34538.0,23863.0
ENSMUSG00000001672,10.0,9.0,7.0,9.0,13.0,6.0
ENSMUSG00000001674,191.27,215.19,185.52,207.0,201.16,140.0
ENSMUSG00000001687,613.0,757.0,600.0,602.0,552.0,469.0
ENSMUSG00000001700,591.0,511.0,461.0,441.0,444.0,421.0
ENSMUSG00000001707,77.0,85.0,116.0,65.0,69.0,57.0
ENSMUSG00000001729,371.0,608.0,481.0,615.0,532.0,339.0
ENSMUSG00000001739,3.0,2.0,3.0,7.0,5.0,5.0
ENSMUSG00000001741,51.0,51.0,43.0,53.0,54.0,33.01
ENSMUSG00000001750,401.0,462.0,353.0,463.0,357.0,239.0
ENSMUSG00000001751,159.0,221.0,203.0,215.0,198.0,117.0
ENSMUSG00000001755,1264.0,1491.0,1174.0,1391.0,1415.0,962.0
ENSMUSG00000001761,97.0,121.0,108.0,95.0,85.0,54.0
ENSMUSG00000001763,138.0,177.0,120.0,112.0,74.0,64.0
ENSMUSG00000001767,196.0,208.0,161.0,182.0,165.0,133.0
ENSMUSG00000001768,230.0,197.0,149.0,130.0,143.0,93.0
ENSMUSG00000001774,528.0,662.0,546.0,478.0,546.0,416.0
ENSMUSG00000001783,532.0,575.0,522.0,578.0,529.0,378.0
ENSMUSG00000001785,194.0,195.0,174.0,193.0,183.0,114.0
ENSMUSG00000001786,213.84,220.1,163.96,176.08,172.0,118.0
ENSMUSG00000001794,905.0,1195.0,998.0,949.0,1048.0,619.0
ENSMUSG00000001802,144.75,270.62,202.33,244.95,221.0,118.0
ENSMUSG00000001829,426.0,496.0,375.0,399.0,407.0,273.0
ENSMUSG00000001833,729.0,528.0,538.0,451.0,548.0,489.0
ENSMUSG00000001844,202.0,243.0,186.0,184.0,172.0,142.0
ENSMUSG00000001847,1638.0,1499.0,1413.0,1204.0,1371.0,1119.0
ENSMUSG00000001855,213.86,247.4,188.44,206.81,186.73,142.31
ENSMUSG00000001870,12.0,36.0,31.0,21.0,26.0,21.0
ENSMUSG00000001891,5652.0,3890.98,3928.96,2824.0,4440.0,3238.98
ENSMUSG00000001909,254.0,356.0,298.0,282.0,283.0,165.0
ENSMUSG00000001910,356.0,553.48,386.78,407.0,350.26,239.0
ENSMUSG00000001911,783.0,1178.0,973.0,1094.64,1037.87,584.0
ENSMUSG00000001918,17.0,28.0,30.0,42.0,38.0,20.0
ENSMUSG00000001924,2057.0,2362.0,1859.0,1962.0,1947.0,1264.0
ENSMUSG00000001930,41.0,59.0,52.0,137.0,104.0,60.0
ENSMUSG00000001942,590.0,489.0,438.0,399.0,431.0,373.0
ENSMUSG00000001943,3.0,7.0,5.0,9.0,6.0,8.0
ENSMUSG00000001946,78.0,133.0,110.0,99.0,98.0,83.0
ENSMUSG00000001948,2.0,2.0,1.0,2.0,1.0,2.0
ENSMUSG00000001962,140.0,172.0,122.0,170.0,170.0,108.0
ENSMUSG00000001964,143.0,172.67,162.01,148.46,160.45,82.0
ENSMUSG00000001983,208.6,203.4,200.79,196.65,222.74,153.81
ENSMUSG00000001986,8.0,6.0,16.0,34.0,25.0,26.0
ENSMUSG00000001995,49.0,70.0,49.0,81.0,68.0,64.0
ENSMUSG00000001998,103.0,112.0,78.95,88.6,102.0,75.0
ENSMUSG00000001999,109.0,115.0,109.0,130.0,109.0,73.0
ENSMUSG00000002006,8.34,12.0,8.45,4.0,2.0,5.0
ENSMUSG00000002007,1.0,3.0,0.0,1.0,1.0,4.0
ENSMUSG00000002010,718.0,745.0,574.0,568.0,617.0,391.0
ENSMUSG00000002014,804.0,805.0,714.0,688.0,786.0,456.0
ENSMUSG00000002015,1290.0,1254.0,1066.0,1025.0,1017.0,803.0
ENSMUSG00000002017,354.0,316.0,317.0,274.0,287.0,258.0
ENSMUSG00000002020,6.0,5.0,7.0,13.0,5.0,6.0
ENSMUSG00000002028,555.0,696.0,574.0,415.0,480.0,378.0
ENSMUSG00000002031,265.0,283.0,259.0,232.0,169.0,160.0
ENSMUSG00000002032,539.0,429.0,349.0,490.0,359.0,324.0
ENSMUSG00000002033,3.0,3.0,11.0,6.0,8.0,2.0
ENSMUSG00000002043,66.0,118.0,73.0,86.0,69.0,39.0
ENSMUSG00000002052,694.52,863.32,768.61,796.69,675.57,404.39
ENSMUSG00000002055,3.0,3.0,9.0,6.0,6.0,5.0
ENSMUSG00000002058,38.0,66.0,49.0,70.0,46.0,34.0
ENSMUSG00000002059,30.0,50.0,48.0,43.0,38.0,29.0
ENSMUSG00000002064,295.48,282.68,231.39,223.31,241.43,191.61
ENSMUSG00000002068,6.0,12.0,11.0,10.0,12.0,13.0
ENSMUSG00000002076,2.0,0.0,7.0,12.0,8.0,3.0
ENSMUSG00000002083,19.0,29.0,23.0,69.0,28.0,21.0
ENSMUSG00000002102,909.0,1098.0,897.0,1046.95,881.0,690.0
ENSMUSG00000002103,714.28,711.81,659.3,722.75,714.02,556.73
ENSMUSG00000002105,79.0,108.0,89.0,104.05,85.0,60.0
ENSMUSG00000002107,235.0,182.0,161.0,171.0,207.0,155.0
ENSMUSG00000002108,752.0,1082.0,898.0,1042.0,1045.0,637.0
ENSMUSG00000002109,51.72,59.19,41.7,43.25,48.98,33.27
ENSMUSG00000002111,48.0,42.0,74.0,64.0,68.0,26.0
ENSMUSG00000002129,207.0,352.0,256.0,319.0,266.0,153.0
ENSMUSG00000002147,771.0,968.0,861.0,825.0,730.0,525.0
ENSMUSG00000002204,3.66,3.0,4.0,6.0,10.0,5.0
ENSMUSG00000002205,243.0,280.0,252.0,227.0,264.0,138.0
ENSMUSG00000002210,70.0,99.0,75.0,94.0,63.0,44.0
ENSMUSG00000002221,231.0,298.0,253.0,241.0,216.0,152.0
ENSMUSG00000002222,2921.0,2216.0,2077.0,1974.0,1916.0,1770.0
ENSMUSG00000002227,222.0,227.0,221.0,242.0,162.0,141.0
ENSMUSG00000002228,2.0,4.0,2.0,6.0,1.0,2.0
ENSMUSG00000002233,54.0,91.0,97.0,98.0,83.0,44.0
ENSMUSG00000002249,61.9,115.95,102.98,108.0,77.93,46.0
ENSMUSG00000002250,64.0,119.0,63.0,91.0,74.0,48.0
ENSMUSG00000002257,2.0,2.0,4.0,11.0,7.0,3.0
ENSMUSG00000002265,314.0,221.0,150.0,106.0,85.0,94.0
ENSMUSG00000002274,6.35,24.55,21.6,19.46,15.88,7.0
ENSMUSG00000002279,369.0,452.0,345.0,371.0,369.0,241.0
ENSMUSG00000002280,207.56,222.65,201.21,242.14,243.0,175.13
ENSMUSG00000002289,2165.0,2472.0,1938.0,1697.0,1199.0,639.0
ENSMUSG00000002297,50.0,43.0,44.0,29.0,31.0,36.0
ENSMUSG00000002307,107.0,133.0,134.0,134.0,118.0,66.0
ENSMUSG00000002308,30.0,25.0,24.0,40.0,28.0,25.0
ENSMUSG00000002319,368.92,528.0,452.76,468.22,308.43,250.83
ENSMUSG00000002320,688.08,733.0,595.24,694.78,666.57,382.17
ENSMUSG00000002324,28.0,31.0,28.0,7.0,12.0,3.0
ENSMUSG00000002325,382.14,466.16,336.53,431.06,399.0,276.0
ENSMUSG00000002326,144.0,156.0,116.0,123.0,143.0,105.0
ENSMUSG00000002329,116.0,79.0,75.0,114.0,124.0,76.0
